wikidata_id,item_title,country
Q4686194,Advanced Energy,
Q379592,Advanced Info Service,Thailand
Q4686236,Advanced Medical Optics,
Q128896,Advanced Micro Devices,United States of America
Q4686242,Advanced Network and Services,United States of America
Q4686415,Advantage Rent a Car,
Q2722179,Advantest,Japan
Q651601,Advanzia Bank,Luxembourg
Q379801,Advent International,United States of America
Q4686442,Advent Software,United States of America
Q3509447,Adventist Health System,
Q4686510,Adventure International,
Q4686752,Advertising Standards Council of India,
Q4686735,Advertising.com,
Q4686934,Adyen,
Q380498,Aecon,
Q4687535,Aegean Marine Petroleum Network Inc.,
Q372435,Aegis Group,United Kingdom
Q291171,Aegon N.V.,Netherlands
Q3605945,Aeolian-Skinner,
Q4687894,Aeon,
Q4687934,AerCap,
Q4687942,Aera Energy,
Q4687964,Aereo,
Q2700879,Aeria Games and Entertainment,United States of America
Q381134,Aerion,
Q28407104,AerisWeather,
Q4577956,Aermacchi,Italy
Q381279,Aero Commander,United States of America
Q4033469,AeroDreams,
Q919300,AeroVironment,United States of America
Q26722633,Aeroengine Corporation of China,
Q4688254,Aeroflex,
Q4688284,Aerohive Networks,United States of America
Q381498,Aerojet,United States of America
Q16970526,Aerojet Rocketdyne,United States of America
Q392445,Aerojet Rocketdyne Holdings,United States of America
Q3085781,Aeronautics Defense Systems,Israel
Q293494,Aerospace Industrial Development Corporation,
Q4688457,Aerospike,
Q767808,Aerostar,
Q4688506,Aerowisata,
Q4688512,Aertex,
Q4688560,Aesop,Australia
Q26049,Aetna,United States of America
Q4688886,Affectiva,
Q4688929,Affin Bank,
Q18209069,Affin Hwang Capital,
Q4688971,Affinity Equity Partners,
Q4688972,Affinity Gaming,
Q4688977,Affinity Water,
Q4688987,Affirm Films,
Q4033491,Affliction Clothing,United States of America
Q2826104,Affymetrix,United States of America
Q383046,Afghan Wireless,Afghanistan
Q4689147,Afghanistan International Bank,
Q383300,Afilias,Ireland
Q26311,Aflac,
Q4033493,Afren,United Kingdom
Q2905086,Africa Israel Investments,
Q4689707,African Barrick Gold,United Kingdom
Q4689752,African Diamond Producers Association,
Q4690493,After Dark Films,
Q4690829,Afton Chemical,
Q4690950,Aga Rangemaster Group,
Q392140,Age Concern,
Q4691850,Age UK,United Kingdom
Q392338,Ageas,
Q392357,Ageia,United States of America
Q2826717,Agencia Boliviana de Información,
Q4692020,Agency for the Performing Arts,
Q392755,Agent Provocateur,
Q309245,Agfa-Gevaert,Germany
Q902268,AgfaPhoto,
Q2826823,Aggreko,
Q393762,Agilent Technologies,United States of America
Q4692553,Agility Logistics,
Q16824426,Agios Pharmaceuticals,United States of America
Q377915,Agip,Germany
Q38676,Agnico-Eagle Mines,Canada
Q1980260,Agnitum,Russia
Q16242643,Agora Financial,
Q395389,Agora SA,Poland
Q16974402,"Agora, Inc.",
Q395941,Agrale,
Q395978,Agrana,
Q517050,Agrani Bank,
Q26298,Agricultural Bank of China,People's Republic of China
Q4693994,Agriculture Insurance Company of India,
Q2895455,Agriprocessors,
Q397223,Agrium,
Q5374450,Agrofert,Czech Republic
Q397347,Agrokor,
Q2827246,Agropur,Canada
Q398845,Agusta,
Q398878,AgustaWestland,
Q4695024,Ahava,Israel
Q18746438,Ahli United Bank,
Q400563,Ahlstrom,Finland
Q4695320,Ahmad Hamad Al Gosaibi & Brothers,
Q4033598,Ahmad Tea,
Q402131,AhnLab Inc,
Q795473,Ahold,Netherlands
Q9144241,Ahold Czech Republic,Czech Republic
Q20539261,Ahold Delhaize,Netherlands
Q2618154,Aigo,People's Republic of China
Q17507558,Aimia,
Q2348496,Aimpoint AB,
Q320566,Ainol,People's Republic of China
Q16974446,Aio Wireless,United States of America
Q16002155,Air Ambulance Jamaica,
Q407237,Air France-KLM,
Q4698035,Air India Limited,
Q4698062,Air Lease,
Q407448,Air Liquide,France
Q4698090,Air Methods,
Q2828216,Air Miles,
Q2828220,Air Partner PLC,
Q407744,Air Products & Chemicals,United States of America
Q2828232,Air Tractor,
Q4698260,Air Weapons Complex,
Q17108237,AirHelp,
Q4697691,AirTouch,United States of America
Q4697698,AirWatch,
Q63327,Airbnb,
Q67,Airbus,Germany
Q16631316,Airbus E-Fan,
Q4698478,Airbus UK,
Q13583352,Aircastle,
Q3533647,Aircel,India
Q302544,Aircraft Industries,Czech Republic
Q4698526,Aircraft Spruce & Specialty Co,United States of America
Q408697,Airfix,
Q80635,Airgas,United States of America
Q4698700,Airgo Networks,
Q4698727,Airiti,
Q434405,Airline Tariff Publishing Company,
Q408861,Airness,
Q16002230,Airpush,
Q4699029,Airtel Africa,
Q19881784,Airtel India,India
Q3525208,Airtel digital TV,
Q409271,Airtricity,United Kingdom
Q16970586,Airware,United States of America
Q409907,Aisin Seiki,Japan
Q4699321,Aitken Spence,
Q4699337,Aitor Knife Company,
Q411186,Aiwa,
Q6751,Aixam,France
Q411528,Aixtron SE,Germany
Q4699546,Ajanta Pharma,
Q4699710,Ajegroup,Peru
Q1710130,Aji Ichiban,
Q412826,Ajinomoto,Japan
Q4699761,Ajisen Ramen,Japan
Q10403939,Akademiska Hus,Sweden
Q415294,Akai,
Q415598,Akamai Technologies,United States of America
Q11515041,Akebono Brake Industry,
Q417391,Aker,Norway
Q4700626,Aker BioMarine,Norway
Q417431,Aker Solutions,Norway
Q4700954,Akij,
Q4701049,Akin Gump Strauss Hauer & Feld,United States of America
Q419217,Akismet,
Q20539236,Akorn,United States of America
Q556406,Akrapovič,
Q420765,Akris,
Q954097,Akron-Canton Airport,United States of America
Q2654839,Aksys Games,United States of America
Q2829178,Akwa Group,
Q50912,AkzoNobel,Netherlands
Q4703536,Al Baik,
Q17002794,Al Baraka Bank (Pakistan) Limited,
Q4033652,Al Baraka Banking Group,Bahrain
Q4703879,Al Ghurair Investment LLC,
Q3339017,Al Jadeed,
Q4704134,Al Jazeera Media Network,
Q4704383,Al Mar Knives,United States of America
Q4704553,Al Noor Hospital,United Arab Emirates
Q4704873,Al Tayer Group,
Q4704878,Al Tazaj,
Q4702408,Al-Futtaim Group,
Q4702428,Al-Ghurair Group,
Q4702935,Al-Muhaidib,
Q1761176,Al-Rajhi Bank,Saudi Arabia
Q2829453,"Alabama, Tennessee and Northern Railroad",United States of America
Q2916067,Aladdin Knowledge Systems,
Q1429287,Alamo Rent a Car,United States of America
Q263465,Alamy,United Kingdom
Q4708391,Alarm Monitoring Center,
Q4708382,"Alarm.com, Inc.",
Q4033665,Alaska Air Group,United States of America
Q2637066,Alaska Commercial Company,
Q4708535,Alaska Dispatch,United States of America
Q4708565,Alaska Milk Corporation,
Q4708627,Alaska USA Federal Credit Union,United States of America
Q2693351,Alawwal Bank,Saudi Arabia
Q4708905,Alaxala Networks,
Q4708939,Alba,
Q1651252,Albanian Power Corporation,
Q127074,Albemarle Corporation,United States of America
Q1653985,Albert Heijn,Netherlands
Q4711650,Alberta Health Services,Canada
Q4711753,Alberta Investment Management Corporation,Canada
Q1574066,Alberto-Culver,
Q4712282,Albertsons,United States of America
Q491565,Albion Motors,United Kingdom
Q21022622,Albpetrol,Albania
Q258142,Albright Stonebridge Group,
Q2832082,Alcan,
Q17510630,Alchemax,
Q4713190,Alclad,
Q684825,Alcon,
Q4713342,Alcon Entertainment,
Q4033689,Aldar Properties,
Q4033684,Aldec,
Q1704283,Alden Shoe Company,United States of America
Q1339044,Aldus,United States of America
Q28451082,Alembic Pharmaceuticals Ltd,
Q1359377,Alenia,
Q956756,Alenia Aermacchi,Italy
Q2114787,Aleris,United States of America
Q248294,Alesis,
Q1649271,Alessi,
Q4716549,Aleutia,
Q16198810,Alex and Ani,United States of America
Q4716582,Alex. Brown & Sons,United States of America
Q230051,Alexa Internet,
Q135281,Alexander & Baldwin,
Q4718630,Alexander Construction Company,
Q167362,Alexander Dennis,
Q13882231,Alexander McQueen,
Q565371,Alexander Schleicher GmbH & Co,Germany
Q4720170,Alexander Street Press,
Q4718099,Alexander's,United States of America
Q204727,Alexion Pharmaceuticals,United States of America
Q4721812,Alfa Aesar,
Q2004123,Alfa Group,
Q686030,Alfa Laval,Sweden
Q1377835,Alfa-Bank,Russia
Q4721807,Alfa-Beta Vassilopoulos,
Q4722234,Alfred Angelo,
Q1784995,Alfred Dunhill,
Q2576816,Alfred McAlpine,
Q966898,Algemeen Nederlands Persbureau,Netherlands
Q4724196,Alghanim Industries,
Q4724337,Algonquin Power,
Q4724369,Algorithmics Inc.,
Q29904317,AliExpress,People's Republic of China
Q536029,Alias Systems Corporation,
Q11079561,Alibaba Film,
Q1359568,Alibaba Group,United Kingdom
Q2836468,Alibris,United States of America
Q4725705,Alice + Olivia,United States of America
Q1085717,Alice Japan,
Q20709176,Alico,
Q1982335,Alien Workshop,
Q937801,Alienware,
Q2836957,Alimentation Couche-Tard,Canada
Q4120111,Alinma Bank,
Q4727496,AlixPartners,
Q23679985,Alkem Laboratories,
Q4727688,Alkermes,Ireland
Q442850,Alkett,Germany
Q1849187,Alko,Finland
Q1359107,All Japan Pro Wrestling,
Q4729030,All Japan Pro Wrestling roster,
Q654030,All Media Network,United States of America
Q4729676,All Star Wrestling,
Q18205205,All Things Comedy,
Q3611907,All-American Publications,
Q498515,All-Clad,United States of America
Q4728469,AllClear ID,
Q4728473,AllSaints,United Kingdom
Q2018840,Allahabad Bank,
Q4033763,Allaire Corporation,United States of America
Q4730390,Allakhazam,
Q20981355,Allan Gray Investment Management,
Q2837712,Allan Herschell Company,
Q4731192,Allbritton Communications Company,
Q17011970,Allcargo Logistics Limited,
Q730716,Allders,United Kingdom
Q2648221,Allegheny Energy,United States of America
Q1361648,Allegheny Technologies,United States of America
Q16738121,Allegion,
Q4731377,Allegis Group,United States of America
Q58014,Allegro,
Q4731492,Allen & Company,United States of America
Q4731491,Allen & Hanburys,
Q941486,Allen & Heath,
Q4731627,Allen Edmonds Shoe Corporation,United States of America
Q2648305,Allen-Bradley,United States of America
Q1759373,Aller Media,Denmark
Q505866,Allergan,United States of America
Q18746384,Allgemeine Sparkasse Oberosterreich,Austria
Q1781081,Alliance & Leicester,
Q16827441,Alliance Bank Malaysia Berhad,
Q676238,Alliance Boots,
Q2837996,Alliance Data,
Q4732298,Alliance Entertainment,
Q20312276,Alliance Global Group,
Q16970687,Alliance Healthcare,
Q4732318,Alliance Laundry Systems,United States of America
Q16002572,Alliance for Affordable Internet,
Q4732432,Alliance of Automobile Manufacturers,
Q4732268,AllianceBernstein,
Q4732491,Alliant Credit Union,United States of America
Q4732492,Alliant Energy,United States of America
Q238765,Alliant Techsystems,United States of America
Q4732499,Alliantgroup,
Q4732501,Allianz Life,
Q4732553,Allied Bank Limited,
Q4732558,Allied Capital,United States of America
Q4732560,Allied Carpets,
Q2838301,Allied Domecq,United Kingdom
Q1642179,Allied Irish Banks,
Q16159478,Allied Specialty Vehicles,
Q2093858,Allied Telesis,
Q4732537,AlliedBarton,United States of America
Q2255004,AlliedSignal,
Q1806882,Allis-Chalmers,United States of America
Q598758,Allison Engine Company,
Q2036530,Allison Transmission,
Q52665,Allmänna Svenska Elektriska Aktiebolaget,
Q23816403,Allnex,
Q4733161,Allot Communications,
Q16970691,Alloy Digital,
Q4733274,Allscripts,United States of America
Q2645636,Allstate,United States of America
Q1788239,Allstate,United States of America
Q16242758,Alltech,United States of America
Q684083,Alltel,United States of America
Q2165106,Allwinner Technology Co. Ltd.,
Q2032800,Ally Financial,United States of America
Q1053610,Alma Media,Finland
Q3535226,Almarai Company,
Q1331507,Almaz-Antey,Russia
Q944760,Almirall,Spain
Q2114113,Almost Skateboards,
Q876811,Alnatura,Germany
Q16974682,Alnylam Pharmaceuticals,United States of America
Q9607578,Alog Datacenters,
Q3143770,AlpInvest Partners,
Q209580,Alpa,
Q4734762,Alpari (UK) Limited,
Q4734988,Alpha Beta,United States of America
Q22324956,Alpha Group Company,People's Republic of China
Q1787354,Alpha Industries,
Q2839509,Alpha Natural Resources,United States of America
Q24204396,AlphaSights,
Q17511340,Alphabet Energy,United States of America
Q20800404,Alphabet Inc.,United States of America
Q1402977,Alphanim,
Q4735264,Alphapharm,
Q180812,Alpina Watches,
Q26944,Alpine,France
Q16242788,Alpine Data Labs,
Q1524303,Alpine Electronics,
Q751488,Alpinestars,
Q4735627,Alpo,
Q498666,Alpro,Germany
Q1611033,Alps Electric,Japan
Q4249585,Alpura,
Q433704,Altadis,Spain
Q434017,Altair Engineering,United States of America
Q433896,Altairnano,
Q4736112,Altamira Software,United States of America
Q837298,Altana,Germany
Q436492,Altec Lansing,
Q294520,Alten,France
Q438294,Altera,United States of America
Q4736439,Alternative Energy Development Board,
Q438862,Alterra Power,Canada
Q18351452,Alteryx,United States of America
Q2367199,Altia,
Q644289,Altice USA,United States of America
Q4033840,Alticor,United States of America
Q441619,Altiris,United States of America
Q1066620,Altium,
Q4736968,Altos Hornos de México,
Q16824942,Altra Zero Drop Footwear,United States of America
Q294532,Altran,
Q25024989,AltspaceVR,
Q447403,Alumina Limited,
Q4737398,Aluminium of Greece,
Q447457,Aluminum Bahrain,Bahrain
Q447855,Aluminum Corporation of China Limited,People's Republic of China
Q4737417,Aluminum Model Toys,
Q448442,Alvarez and Marsal,
Q1444583,Alvarion,Israel
Q26952,Alvis Car and Engineering Company Ltd,United Kingdom
Q281506,Alvis plc,United Kingdom
Q450270,Alyeska Pipeline Service Company,
